ds,conso_real
2014-01-01T00:00:00Z,64660
2014-01-01T01:00:00Z,61362
2014-01-01T02:00:00Z,60748
2014-01-01T03:00:00Z,58061
2014-01-01T04:00:00Z,54475
2014-01-01T05:00:00Z,52534
2014-01-01T06:00:00Z,52262
2014-01-01T07:00:00Z,52302
2014-01-01T08:00:00Z,52429
2014-01-01T09:00:00Z,51663
2014-01-01T10:00:00Z,52953
2014-01-01T11:00:00Z,54561
2014-01-01T12:00:00Z,56449
2014-01-01T13:00:00Z,59253
2014-01-01T14:00:00Z,56957
2014-01-01T15:00:00Z,55005
2014-01-01T16:00:00Z,54249
2014-01-01T17:00:00Z,55189
2014-01-01T18:00:00Z,59859
2014-01-01T19:00:00Z,61961
2014-01-01T20:00:00Z,61956
2014-01-01T21:00:00Z,59917
2014-01-01T22:00:00Z,57452
2014-01-01T23:00:00Z,60626
2014-01-02T00:00:00Z,59416
2014-01-02T01:00:00Z,54881
2014-01-02T02:00:00Z,54007
2014-01-02T03:00:00Z,51534
2014-01-02T04:00:00Z,49379
2014-01-02T05:00:00Z,49576
2014-01-02T06:00:00Z,52337
2014-01-02T07:00:00Z,56603
2014-01-02T08:00:00Z,60724
2014-01-02T09:00:00Z,62634
2014-01-02T10:00:00Z,64527
2014-01-02T11:00:00Z,65192
2014-01-02T12:00:00Z,66085
2014-01-02T13:00:00Z,66683
2014-01-02T14:00:00Z,64305
2014-01-02T15:00:00Z,62136
2014-01-02T16:00:00Z,60683
2014-01-02T17:00:00Z,61302
2014-01-02T18:00:00Z,66932
2014-01-02T19:00:00Z,69243
2014-01-02T20:00:00Z,67431
2014-01-02T21:00:00Z,63475
2014-01-02T22:00:00Z,60348
2014-01-02T23:00:00Z,63351
2014-01-03T00:00:00Z,62135
2014-01-03T01:00:00Z,57550
2014-01-03T02:00:00Z,56346
2014-01-03T03:00:00Z,53839
2014-01-03T04:00:00Z,51444
2014-01-03T05:00:00Z,51291
2014-01-03T06:00:00Z,53743
2014-01-03T07:00:00Z,57856
2014-01-03T08:00:00Z,61762
2014-01-03T09:00:00Z,63222
2014-01-03T10:00:00Z,64935
2014-01-03T11:00:00Z,65580
2014-01-03T12:00:00Z,66702
2014-01-03T13:00:00Z,67323
2014-01-03T14:00:00Z,65012
2014-01-03T15:00:00Z,63063
2014-01-03T16:00:00Z,61666
2014-01-03T17:00:00Z,62036
2014-01-03T18:00:00Z,67156
2014-01-03T19:00:00Z,69250
2014-01-03T20:00:00Z,67267
2014-01-03T21:00:00Z,63324
2014-01-03T22:00:00Z,60331
2014-01-03T23:00:00Z,63587
2014-01-04T00:00:00Z,62542
2014-01-04T01:00:00Z,57691
2014-01-04T02:00:00Z,56275
2014-01-04T03:00:00Z,53601
2014-01-04T04:00:00Z,50940
2014-01-04T05:00:00Z,50128
2014-01-04T06:00:00Z,51108
2014-01-04T07:00:00Z,52896
2014-01-04T08:00:00Z,55088
2014-01-04T09:00:00Z,56946
2014-01-04T10:00:00Z,59398
2014-01-04T11:00:00Z,60711
2014-01-04T12:00:00Z,62032
2014-01-04T13:00:00Z,63858
2014-01-04T14:00:00Z,60970
2014-01-04T15:00:00Z,59100
2014-01-04T16:00:00Z,57979
2014-01-04T17:00:00Z,58371
2014-01-04T18:00:00Z,63188
2014-01-04T19:00:00Z,65440
2014-01-04T20:00:00Z,64090
2014-01-04T21:00:00Z,61044
2014-01-04T22:00:00Z,58767
2014-01-04T23:00:00Z,62695
2014-01-05T00:00:00Z,62228
2014-01-05T01:00:00Z,58110
2014-01-05T02:00:00Z,57089
2014-01-05T03:00:00Z,54365
2014-01-05T04:00:00Z,51889
2014-01-05T05:00:00Z,50877
2014-01-05T06:00:00Z,51483
2014-01-05T07:00:00Z,52473
2014-01-05T08:00:00Z,53991
2014-01-05T09:00:00Z,55192
2014-01-05T10:00:00Z,57882
2014-01-05T11:00:00Z,59759
2014-01-05T12:00:00Z,61154
2014-01-05T13:00:00Z,63075
2014-01-05T14:00:00Z,59398
2014-01-05T15:00:00Z,56950
2014-01-05T16:00:00Z,55882
2014-01-05T17:00:00Z,56603
2014-01-05T18:00:00Z,62267
2014-01-05T19:00:00Z,65643
2014-01-05T20:00:00Z,65322
2014-01-05T21:00:00Z,62547
2014-01-05T22:00:00Z,59503
2014-01-05T23:00:00Z,62454
2014-01-06T00:00:00Z,61502
2014-01-06T01:00:00Z,57576
2014-01-06T02:00:00Z,56776
2014-01-06T03:00:00Z,54357
2014-01-06T04:00:00Z,52046
2014-01-06T05:00:00Z,52390
2014-01-06T06:00:00Z,56285
2014-01-06T07:00:00Z,63927
2014-01-06T08:00:00Z,69593
2014-01-06T09:00:00Z,69671
2014-01-06T10:00:00Z,69869
2014-01-06T11:00:00Z,69636
2014-01-06T12:00:00Z,69962
2014-01-06T13:00:00Z,69483
2014-01-06T14:00:00Z,67808
2014-01-06T15:00:00Z,66070
2014-01-06T16:00:00Z,64913
2014-01-06T17:00:00Z,65726
2014-01-06T18:00:00Z,70386
2014-01-06T19:00:00Z,73423
2014-01-06T20:00:00Z,70328
2014-01-06T21:00:00Z,65616
2014-01-06T22:00:00Z,61646
2014-01-06T23:00:00Z,63995
2014-01-07T00:00:00Z,62988
2014-01-07T01:00:00Z,58160
2014-01-07T02:00:00Z,56945
2014-01-07T03:00:00Z,54827
2014-01-07T04:00:00Z,52662
2014-01-07T05:00:00Z,52914
2014-01-07T06:00:00Z,56839
2014-01-07T07:00:00Z,64228
2014-01-07T08:00:00Z,69958
2014-01-07T09:00:00Z,69667
2014-01-07T10:00:00Z,69190
2014-01-07T11:00:00Z,68599
2014-01-07T12:00:00Z,68988
2014-01-07T13:00:00Z,68201
2014-01-07T14:00:00Z,66709
2014-01-07T15:00:00Z,64760
2014-01-07T16:00:00Z,63590
2014-01-07T17:00:00Z,64191
2014-01-07T18:00:00Z,69408
2014-01-07T19:00:00Z,72019
2014-01-07T20:00:00Z,69049
2014-01-07T21:00:00Z,64948
2014-01-07T22:00:00Z,60914
2014-01-07T23:00:00Z,63156
2014-01-08T00:00:00Z,62008
2014-01-08T01:00:00Z,57298
2014-01-08T02:00:00Z,56216
2014-01-08T03:00:00Z,53719
2014-01-08T04:00:00Z,51798
2014-01-08T05:00:00Z,52083
2014-01-08T06:00:00Z,56082
2014-01-08T07:00:00Z,63083
2014-01-08T08:00:00Z,68358
2014-01-08T09:00:00Z,69269
2014-01-08T10:00:00Z,68732
2014-01-08T11:00:00Z,68118
2014-01-08T12:00:00Z,68068
2014-01-08T13:00:00Z,67385
2014-01-08T14:00:00Z,65680
2014-01-08T15:00:00Z,63820
2014-01-08T16:00:00Z,62455
2014-01-08T17:00:00Z,63239
2014-01-08T18:00:00Z,68474
2014-01-08T19:00:00Z,71305
2014-01-08T20:00:00Z,68602
2014-01-08T21:00:00Z,64149
2014-01-08T22:00:00Z,60122
2014-01-08T23:00:00Z,62721
2014-01-09T00:00:00Z,61752
2014-01-09T01:00:00Z,57162
2014-01-09T02:00:00Z,56282
2014-01-09T03:00:00Z,54061
2014-01-09T04:00:00Z,51882
2014-01-09T05:00:00Z,52139
2014-01-09T06:00:00Z,55946
2014-01-09T07:00:00Z,63607
2014-01-09T08:00:00Z,69090
2014-01-09T09:00:00Z,68787
2014-01-09T10:00:00Z,68760
2014-01-09T11:00:00Z,68621
2014-01-09T12:00:00Z,69429
2014-01-09T13:00:00Z,69215
2014-01-09T14:00:00Z,67981
2014-01-09T15:00:00Z,66124
2014-01-09T16:00:00Z,65145
2014-01-09T17:00:00Z,65532
2014-01-09T18:00:00Z,70146
2014-01-09T19:00:00Z,73359
2014-01-09T20:00:00Z,70395
2014-01-09T21:00:00Z,66120
2014-01-09T22:00:00Z,62272
2014-01-09T23:00:00Z,64930
2014-01-10T00:00:00Z,63721
2014-01-10T01:00:00Z,59006
2014-01-10T02:00:00Z,58330
2014-01-10T03:00:00Z,56185
2014-01-10T04:00:00Z,54317
2014-01-10T05:00:00Z,54999
2014-01-10T06:00:00Z,58842
2014-01-10T07:00:00Z,66638
2014-01-10T08:00:00Z,72629
2014-01-10T09:00:00Z,72325
2014-01-10T10:00:00Z,72197
2014-01-10T11:00:00Z,71532
2014-01-10T12:00:00Z,71450
2014-01-10T13:00:00Z,70562
2014-01-10T14:00:00Z,68344
2014-01-10T15:00:00Z,66044
2014-01-10T16:00:00Z,64475
2014-01-10T17:00:00Z,64630
2014-01-10T18:00:00Z,70432
2014-01-10T19:00:00Z,72745
2014-01-10T20:00:00Z,70310
2014-01-10T21:00:00Z,66221
2014-01-10T22:00:00Z,63012
2014-01-10T23:00:00Z,66034
2014-01-11T00:00:00Z,64844
2014-01-11T01:00:00Z,59647
2014-01-11T02:00:00Z,58078
2014-01-11T03:00:00Z,55553
2014-01-11T04:00:00Z,52919
2014-01-11T05:00:00Z,52185
2014-01-11T06:00:00Z,53309
2014-01-11T07:00:00Z,55749
2014-01-11T08:00:00Z,58606
2014-01-11T09:00:00Z,60737
2014-01-11T10:00:00Z,62843
2014-01-11T11:00:00Z,63028
2014-01-11T12:00:00Z,63562
2014-01-11T13:00:00Z,64827
2014-01-11T14:00:00Z,61235
2014-01-11T15:00:00Z,58865
2014-01-11T16:00:00Z,57243
2014-01-11T17:00:00Z,57244
2014-01-11T18:00:00Z,62603
2014-01-11T19:00:00Z,66065
2014-01-11T20:00:00Z,64807
2014-01-11T21:00:00Z,61721
2014-01-11T22:00:00Z,59447
2014-01-11T23:00:00Z,63416
2014-01-12T00:00:00Z,63382
2014-01-12T01:00:00Z,59345
2014-01-12T02:00:00Z,58251
2014-01-12T03:00:00Z,55494
2014-01-12T04:00:00Z,52811
2014-01-12T05:00:00Z,51863
2014-01-12T06:00:00Z,52483
2014-01-12T07:00:00Z,53627
2014-01-12T08:00:00Z,55410
2014-01-12T09:00:00Z,57045
2014-01-12T10:00:00Z,59961
2014-01-12T11:00:00Z,61546
2014-01-12T12:00:00Z,62874
2014-01-12T13:00:00Z,64219
2014-01-12T14:00:00Z,59776
2014-01-12T15:00:00Z,57127
2014-01-12T16:00:00Z,55810
2014-01-12T17:00:00Z,56338
2014-01-12T18:00:00Z,61999
2014-01-12T19:00:00Z,65572
2014-01-12T20:00:00Z,65359
2014-01-12T21:00:00Z,62753
2014-01-12T22:00:00Z,59925
2014-01-12T23:00:00Z,62884
2014-01-13T00:00:00Z,61942
