ds;holiday
2012-12-25;Noel
2013-01-01;NouvelAn
2013-04-01;Paques
2013-05-01;1erMai
2013-05-08;8Mai
2013-05-09;Ascension
2013-05-20;Pentecote
2013-07-14;FeteNationale
2013-08-15;Assomption
2013-11-01;Toussaint
2013-11-11;11Novembre
2013-12-25;Noel
2014-01-01;NouvelAn
2014-04-21;Paques
2014-05-01;1erMai
2014-05-08;8Mai
2014-05-29;Ascension
2014-06-09;Pentecote
2014-07-14;FeteNationale
2014-08-15;Assomption
2014-11-01;Toussaint
2014-11-11;11Novembre
2014-12-25;Noel
2015-01-01;NouvelAn
2015-04-06;Paques
2015-05-01;1erMai
2015-05-08;8Mai
2015-05-14;Ascension
2015-05-25;Pentecote
2015-07-14;FeteNationale
2015-08-15;Assomption
2015-11-01;Toussaint
2015-11-11;11Novembre
2015-12-25;Noel
2016-01-01;NouvelAn
2016-03-28;Paques
2016-05-01;1erMai
2016-05-05;Ascension
2016-05-08;8Mai
2016-05-16;Pentecote
2016-07-14;FeteNationale
2016-08-15;Assomption
2016-11-01;Toussaint
2016-11-11;11Novembre
2016-12-25;Noel
2017-01-01;NouvelAn
2017-04-17;Paques
2017-05-01;1erMai
2017-05-08;8Mai
2017-05-25;Ascension
2017-06-05;Pentecote
2017-07-14;FeteNationale
2017-08-15;Assomption
2017-11-01;Toussaint
2017-11-11;11Novembre
2017-12-25;Noel
2018-01-01;NouvelAn
2018-04-02;Paques
2018-05-01;1erMai
2018-05-08;8Mai
2018-05-10;Ascension
2018-06-21;Pentecote
2018-07-14;FeteNationale
2018-08-15;Assomption
2018-11-01;Toussaint
2018-11-11;11Novembre
2018-12-25;Noel
