ds,y
2014-01-08 00:00:00+00:00,62008
2014-01-08 01:00:00+00:00,57298
2014-01-08 02:00:00+00:00,56216
2014-01-08 03:00:00+00:00,53719
2014-01-08 04:00:00+00:00,51798
2014-01-08 05:00:00+00:00,52083
2014-01-08 06:00:00+00:00,56082
2014-01-08 07:00:00+00:00,63083
2014-01-08 08:00:00+00:00,68358
2014-01-08 09:00:00+00:00,69269
2014-01-08 10:00:00+00:00,68732
2014-01-08 11:00:00+00:00,68118
2014-01-08 12:00:00+00:00,68068
2014-01-08 13:00:00+00:00,67385
2014-01-08 14:00:00+00:00,65680
2014-01-08 15:00:00+00:00,63820
2014-01-08 16:00:00+00:00,62455
2014-01-08 17:00:00+00:00,63239
2014-01-08 18:00:00+00:00,68474
2014-01-08 19:00:00+00:00,71305
2014-01-08 20:00:00+00:00,68602
2014-01-08 21:00:00+00:00,64149
2014-01-08 22:00:00+00:00,60122
2014-01-08 23:00:00+00:00,62721
2014-01-09 00:00:00+00:00,61752
2014-01-09 01:00:00+00:00,57162
2014-01-09 02:00:00+00:00,56282
2014-01-09 03:00:00+00:00,54061
2014-01-09 04:00:00+00:00,51882
2014-01-09 05:00:00+00:00,52139
2014-01-09 06:00:00+00:00,55946
2014-01-09 07:00:00+00:00,63607
2014-01-09 08:00:00+00:00,69090
2014-01-09 09:00:00+00:00,68787
2014-01-09 10:00:00+00:00,68760
2014-01-09 11:00:00+00:00,68621
2014-01-09 12:00:00+00:00,69429
2014-01-09 13:00:00+00:00,69215
2014-01-09 14:00:00+00:00,67981
2014-01-09 15:00:00+00:00,66124
2014-01-09 16:00:00+00:00,65145
2014-01-09 17:00:00+00:00,65532
2014-01-09 18:00:00+00:00,70146
2014-01-09 19:00:00+00:00,73359
2014-01-09 20:00:00+00:00,70395
2014-01-09 21:00:00+00:00,66120
2014-01-09 22:00:00+00:00,62272
2014-01-09 23:00:00+00:00,64930
2014-01-10 00:00:00+00:00,63721
2014-01-10 01:00:00+00:00,59006
2014-01-10 02:00:00+00:00,58330
2014-01-10 03:00:00+00:00,56185
2014-01-10 04:00:00+00:00,54317
2014-01-10 05:00:00+00:00,54999
